"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"103年07月","澳門","3297263","205","7164422","366","18967502","317","2092074","130","3091076","309","1650221","123","817778","97","953100","104","337010","39","751531","151","559369","84","814037","73","823689","30","292173","11","960919","21","5408","1"
"103年08月","英國","20277294","22897","55988302","37651","48547249","37612","23525544","28044","49239605","45369","14888766","17962","18965978","20848","12306591","12525","12775421","15203","23694375","25031","17339191","17784","13501567","13757","5911317","7275","2017673","3470","1475389","1854","254172","445"
"103年08月","日本","15909963","4047","44804067","9801","37209653","8216","12560951","3070","26910581","6216","7931344","1996","12511577","2318","9836380","2359","7900304","1496","15034656","3530","12384585","2746","6050052","1667","2747159","689","826969","239","630514","149","64029","10"
"103年08月","美國","12507022","2892","44981668","8146","37029642","7265","9069087","2590","24409517","5326","4925661","1574","7830704","1609","8309397","1772","6293297","1609","10378207","2603","7809927","2053","6124900","1345","3084757","660","553097","156","420252","145","51727","11"
"103年08月","中國","12118777","4594","29166067","8525","28670572","8072","11098463","3638","22799196","7595","6895624","2319","7258624","2699","7344459","2425","4717733","1986","7975137","3655","7615056","3390","5059142","1902","2385652","1163","807428","390","1256995","426","66234","32"
"103年08月","新加坡","5610797","1311","15731269","3414","16159488","3011","4832345","1440","19667857","2671","3744645","891","2861678","925","4394903","885","8198502","679","5122158","1338","3921666","873","2152855","557","1057980","305","496668","124","439313","132","51214","24"
"103年08月","香港","11712137","1361","14053237","2882","14709300","2554","4884326","1138","10353706","2284","3202503","664","2970315","743","3555820","684","3231992","528","4927722","1224","4929920","670","2485170","470","803920","215","326438","111","635006","129","8865","12"
"103年08月","盧森堡","6549138","12870","12986332","25102","12723015","22590","6958605","13981","11210484","22886","3738866","8069","4448831","8577","3481062","7385","2816164","6214","5313213","11582","4289410","9461","2866888","6118","1751404","2866","467615","1216","614083","1010","109870","171"
"103年08月","南韓","5168746","908","9941062","2139","15172947","2318","5868620","923","10286539","1628","4347557","513","3124862","494","2932133","544","1648188","304","6522354","926","5598376","833","4834593","754","1114683","173","585835","57","96601","25","212754","28"
"103年08月","法國","2792561","238","9213497","842","5583101","514","3027581","242","5796877","416","1232353","178","1616603","153","1602069","170","849087","103","2977597","326","2442711","243","2757129","161","768977","53","12586","2","337937","30","0","0"
