"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"105年01月","香港","10452640","2005","19532547","3778","15544537","3120","6127181","1456","13958821","3008","3717716","850","4209666","913","4977044","734","3232622","648","8569253","1554","4952165","1024","3207427","637","1348963","265","563207","144","637037","140","93298","19"
"105年01月","南韓","5913486","1301","13725182","4262","11683399","2914","7236314","979","11782353","1958","6636236","766","5189028","967","2750032","623","4354409","545","7161278","1121","5424528","938","3249244","799","1550309","309","1020930","187","346368","107","248427","63"
"105年01月","盧森堡","5086732","7743","12321056","17732","12259395","15872","7289648","9796","11379772","14571","3008477","4769","3700080","5268","2198057","3311","2492530","3433","4227310","6576","3868885","5836","3416667","4738","1271439","1719","605970","731","601252","776","88498","146"
"105年01月","法國","2433852","201","6304563","754","5072236","624","1996516","246","19051247","421","2380712","198","1112643","95","976443","134","1225818","121","1900765","171","1095811","180","567253","88","561846","62","159596","17","243306","18","0","0"
"105年01月","荷蘭","3542634","4864","6398654","5044","5192128","4069","2163937","2536","6271402","5070","3166019","1996","1451927","1699","1723092","1795","2048739","1552","3600664","2478","3313318","2673","3457310","2177","964844","858","422253","594","426709","299","33146","43"
"105年02月","英國","41387209","38991","91565240","61442","86877167","61366","39664222","42526","79740910","71374","25695293","26345","33884694","31355","22619927","19874","20726529","23258","39198561","40927","32636056","32440","20706847","21191","9708841","11530","4945132","5771","3909714","3912","783434","923"
"105年02月","日本","42910561","8201","114428947","22051","89259836","16809","31324121","6201","72879640","13521","21687924","4098","26845956","4932","24444263","4634","14863521","3047","34689248","6905","24846862","4986","14896622","2990","7763228","1504","3006138","663","1817510","377","524899","83"
"105年02月","美國","19003525","3514","44821591","10384","46279292","9233","13138917","3435","40942532","8417","12955473","2347","10852566","3561","11008631","2162","7209643","1978","19822900","3476","12312693","4921","9990817","2060","3110488","724","1287304","321","802580","167","112305","99"
"105年02月","中國","10910121","5560","21718277","9245","23091940","8834","9040397","4381","20130915","10507","5563230","3094","6704447","3875","6367630","3202","4798882","2708","9842153","5629","7890253","4225","5024092","2606","2324833","1340","1055935","529","968671","603","80601","62"
"105年02月","新加坡","7715715","2328","21111795","5183","17597972","4049","7004843","1836","16261672","3752","5458685","1191","4183476","1248","4955237","1054","3543701","921","7702532","1603","6078306","1662","2888159","863","1304266","364","702203","216","448757","134","250244","69"
"105年02月","香港","9499891","2284","16769841","4082","14093624","3473","6337552","1591","11823953","3059","4626835","963","3598804","1082","5830219","911","2650001","725","7187456","1619","4291986","1159","3322830","818","1358527","312","537828","135","379996","120","50792","23"
"105年02月","南韓","6851216","1317","12510621","2966","10432401","2181","5819974","1047","15844811","2052","6151892","720","5325960","744","5023213","693","2898423","484","6535928","1033","6107413","956","2836367","475","2294815","279","592979","104","594584","113","128231","16"
"105年02月","盧森堡","5133914","7733","13526216","18310","12889582","16376","7807078","10167","11935087","15215","3425327","5071","4000676","5228","2402901","3405","2598266","3570","4904443","6883","4151182","6067","3807865","5128","1099375","1738","585164","681","560282","669","107884","120"
"105年02月","荷蘭","4065314","4822","6748474","5135","5974455","3906","3049969","2358","6593459","5007","3252705","2040","1928283","1916","1897401","1869","1529675","1297","4625518","2636","3477134","2524","3684683","2186","1226372","837","324604","611","432939","290","71204","80"
"105年02月","澳門","4339114","191","5201553","429","15617240","469","2449181","161","3847921","313","1083945","78","2092333","179","1449083","126","409998","62","1248437","173","1599477","112","2099731","75","194445","30","686856","37","1171707","25","0","0"
"105年03月","英國","42720564","38162","99006778","58646","85648284","58914","43336753","42253","81600000","68611","26904706","26234","32939730","31697","23684214","19988","22393198","23937","43192801","40960","30778026","28830","22054538","21774","10532225","11688","4625053","5547","3218973","3554","997404","875"
"105年03月","日本","41002261","8402","85442914","17839","75213145","14966","33144042","6578","67286996","13255","23326807","4489","22231503","4285","22370784","4455","16799561","3518","39318879","7807","28436578","5498","15964471","2995","7250504","1460","3216523","565","1970754","421","228455","51"
"105年03月","中國","27192365","10106","45263815","16388","39511216","15297","16037048","8185","34680999","18346","9971374","5298","-4600699","6514","9424808","5131","8147794","4863","16959264","9571","14495271","7673","7997537","4607","3304849","2221","1431846","986","1420862","1084","296895","169"
"105年03月","美國","16658402","3816","49016014","11476","47599432","10291","10817396","3239","31275690","10493","7844463","2301","8276720","2462","9202796","2187","8171542","1967","13063181","3462","10762962","4367","7031019","1986","2350447","730","931128","418","830109","204","128881","45"
"105年03月","新加坡","8627942","2118","22727268","4538","18863101","3980","6595090","1733","15587891","3473","4456446","1136","5042304","1374","5103410","1027","5387717","957","8282503","1817","4774432","1470","3807746","1046","1682672","406","602796","199","671461","152","200070","39"
"105年03月","香港","9058729","2158","18732084","3991","16590029","3331","6028194","1602","13114781","3105","3402128","973","4217421","977","3902608","842","4225228","793","8733928","1723","5740382","1304","4058050","811","1230217","304","595584","157","355165","88","67317","19"
"105年03月","南韓","6188750","1495","11487238","3312","13859988","2446","5471184","1085","14073694","2231","4935448","752","4966691","782","2846725","566","2650406","610","6414485","1223","6294014","1068","2682065","614","1188061","220","1245169","164","56997","36","48474","16"
"105年03月","盧森堡","4668484","7132","13736982","15612","14181685","13901","5978138","8548","9717633","13526","3038721","4544","3724657","5062","2430009","3568","2398296","3469","4076810","6487","3923689","5909","3316583","5171","1077456","1783","564735","700","656002","722","109673","116"
"105年03月","荷蘭","4873625","5737","8368796","6459","6823827","4609","4027166","2943","8545019","6804","3794997","2635","2384785","2244","2556471","2347","1899869","1723","6448700","3457","4928283","3464","5685593","2707","1900213","1145","481547","702","458113","366","42416","73"
"105年03月","法國","2622423","263","10875162","991","4973924","572","2682065","230","7504245","470","1864233","147","2390205","203","2497949","156","2136805","165","3914555","278","3599876","204","904474","75","116498","14","62849","9","56183","7","96676","2"
"105年04月","日本","40811119","9361","107879211","22863","90739042","17898","37424276","7714","76286832","15038","23526871","4565","24658230","4734","25116185","5148","18274157","3582","39654624","7968","26142469","5629","15846403","3148","14027316","2870","2247692","556","1288190","355","631494","45"
"105年04月","英國","40436982","36386","96587300","57465","78821732","56377","38277925","40684","75320107","66860","26555090","25960","29549680","30449","20288670","19102","22297001","23964","36696281","39049","29884437","28513","21656557","22660","11709370","11815","3433773","5360","2914221","3481","771378","877"
"105年04月","中國","19355770","10600","38065669","16875","36808941","16243","17097176","9074","34999004","20497","9778821","6492","4030136","7293","9463398","5529","8449776","5760","16281819","10956","13498698","8273","9502430","5321","3656018","2137","1543795","1208","1822303","1219","304211","146"
"105年04月","美國","13288319","3607","47712417","11967","54453092","9341","10604693","3471","27714482","7313","7205150","2155","10033041","2685","8386966","2370","7135944","2003","10366842","3296","9086315","3138","7335287","2069","1959879","828","1274700","379","813998","261","174626","65"
"105年04月","香港","16151380","2386","18996839","4183","20758315","3518","7485666","1697","14320122","3159","4234901","926","3679261","949","4443542","916","4430497","845","9066952","1753","4754448","1159","3145631","753","1637692","402","653648","126","614262","123","61970","20"
"105年04月","新加坡","7817816","2039","21468934","4516","20044522","4054","8528685","1893","15988345","3865","4220338","1216","4559722","1556","3696615","950","4464793","1047","7381669","1725","5065676","1540","3585134","927","1570378","480","541277","166","1262386","246","103249","27"
"105年04月","南韓","7337923","1613","13281323","3437","12815469","3286","7700633","1407","14152651","2688","6489305","1143","5277409","1059","3570891","739","2923363","568","7764696","1462","5323471","1175","4740778","930","3731586","543","978520","166","419366","51","214939","13"
"105年04月","盧森堡","5222902","8299","13390718","17629","11837860","15692","6738241","9729","11645555","16158","3825201","5951","5033426","6612","2460577","4048","3093835","4490","5226932","8261","4788010","7050","3477218","5857","1470948","2295","786248","1052","618924","911","103040","153"
"105年04月","荷蘭","4445934","5851","8353084","6723","6983219","4936","3290256","3011","8746836","6574","3236648","2681","3159123","2485","2648499","2290","2143811","1741","4772300","3519","2973124","3274","3825223","2592","1128816","1111","472352","610","623255","447","45821","52"
"105年04月","澳門","3844588","263","9537632","524","8968906","405","2635839","188","3849883","346","1765893","116","1339305","149","2286588","160","3132365","98","2171043","224","1669123","99","1513886","82","155607","44","949192","42","165541","12","15472","3"
"105年05月","英國","40115441","38251","96090984","60003","120837103","59120","40298484","41310","83073868","70436","26301626","26373","32501645","32127","26602494","20872","23110905","24858","41479764","41676","32121817","29693","24261956","22888","11898719","12118","4219760","5861","3960666","3617","754585","881"
"105年05月","日本","42022697","9728","89648855","20454","75726175","16265","32082114","7090","67585594","13831","20042847","4558","22243390","4656","21789597","4632","18437263","3811","35232876","7593","25330267","5817","15113014","3332","6337795","1513","2620186","551","1596607","354","708132","78"
"105年05月","中國","18941535","11313","42081236","18613","41417303","17712","19430940","10329","40111506","22985","11599718","7062","4365650","8233","9673875","5755","9284827","6709","17551140","11788","14323016","8676","9245288","6032","3451583","2192","1514893","1212","2106658","1417","426965","202"
"105年05月","美國","13671325","3730","51305647","11276","47236151","9189","11487651","3829","35035505","7551","9148612","2299","8729988","2591","9271478","2436","7677942","2029","12225232","4004","9943873","3022","7097243","2063","2784491","838","1735864","483","614687","218","166342","65"
"105年05月","香港","9927445","2164","21914955","4253","15329609","3473","7096040","1675","15868296","3470","4629312","951","4672057","974","4571898","901","5118606","835","10135233","1849","4826667","1277","3547411","812","1092351","364","833615","170","845585","200","608515","20"
"105年05月","新加坡","8079928","2087","20921864","4533","20599093","4294","6877524","1883","15942767","4159","4206198","1307","5232459","1569","4925846","1254","3113120","1027","7194297","1880","5774854","1637","5020193","1032","1291460","534","447350","174","776394","292","182877","30"
"105年05月","盧森堡","6104888","9951","14708194","21131","13554626","19643","8192725","12175","15314068","20464","4850394","7630","5204675","7759","3920509","5243","3787943","5571","5641300","10267","5460130","8324","4072956","7062","1637846","2790","984921","1312","1121144","1314","107995","178"
"105年05月","南韓","9423017","1766","12894100","3347","12085936","2988","5234530","1117","15293943","2523","4868223","933","6247052","1095","3394719","752","2856294","562","8066258","1632","7119431","1310","3854314","702","1039108","299","489114","108","688069","119","146969","12"
"105年05月","法國","2903924","275","19618910","1085","11234592","711","4336714","314","6119206","595","2532184","222","2367627","154","8230825","199","434777","176","3191713","280","3891173","305","2570725","130","473689","71","130428","13","186631","34","0","0"
"105年05月","荷蘭","5115202","6682","10692239","7752","8415444","5394","3003713","3517","8305171","7566","3425794","3078","3095657","3077","2671250","2718","2365815","2129","6202254","4503","4194837","3900","4329228","3052","1530411","1275","818303","690","846317","480","44189","91"
"105年06月","英國","51365841","43804","112856671","68159","109827423","66776","48075068","48146","93259366","83741","34750027","31997","37932567","38024","25685291","23476","29367810","28379","45984941","47678","35301877","34727","25780302","25415","12195798","13660","5268806","7151","4547300","4684","784113","881"
"105年06月","日本","45566561","10576","112436090","25968","97983626","21757","35428095","7848","76711257","15875","22479589","5031","27590714","5211","25864160","5635","19510622","4352","35921220","7768","25937941","6039","16754076","3697","5916984","1526","2825932","663","2426673","607","198357","42"
"105年06月","中國","20984243","10714","37979206","16938","40388078","16401","17390717","9604","37172745","21779","10775962","6132","10697676","7601","9189133","5704","9489176","6704","17730263","11185","13593680","8410","8211173","5618","3574710","2360","1782297","1209","2102422","1715","242934","145"
"105年06月","美國","15433228","4374","51905694","12207","45028220","10180","13052499","4050","32642975","7761","8928126","2535","11001580","2974","9413602","2619","8902710","2468","15397236","5143","8860345","3116","7584496","2142","2746380","933","1360105","412","433491","260","163125","26"
"105年06月","香港","11592405","2719","21126545","5292","18570583","4663","7819537","2134","16809439","4260","5272232","1322","5084948","1251","5024590","1130","4366354","1216","10713862","2331","5640376","1612","5399618","1042","1833661","518","873777","211","920996","275","248159","44"
"105年06月","新加坡","9000618","2221","19709638","4715","20309986","4067","5508135","1719","16803672","4013","4869760","1421","6085425","1528","5231180","1159","3593449","1040","9915813","1900","6167551","1732","4540009","957","1506915","455","670861","206","804218","285","168719","33"
"105年06月","法國","4006195","420","29743667","1646","22817406","1492","3125543","362","16304322","725","4686200","279","2378170","273","2006367","223","1519397","177","6232899","366","6359993","284","3369031","238","389871","46","302388","25","160460","40","0","0"
"105年06月","南韓","8840883","2270","17204836","4263","14265514","3417","6896407","1691","15729203","3072","5392905","1194","5102223","1158","3766173","769","3532995","663","7784220","1596","6343329","1270","3658126","812","1483575","312","602795","174","405192","116","61575","9"
"105年06月","盧森堡","6329227","10629","14086743","21164","14327181","20307","8647858","13228","14457524","21964","4584712","8158","6003803","8983","3804854","5740","4374842","6538","5846643","10895","5867825","9370","4545996","7756","1998338","3173","899233","1322","914796","1357","97981","171"
"105年06月","澳門","3408320","285","10010496","534","55869359","503","2668599","194","5371963","449","1230907","130","1646401","165","1266141","161","2082591","104","2114126","292","2584786","141","1198665","111","501043","56","52763","12","558237","23","36036","4"
"105年07月","英國","50765830","44785","120897654","70803","101917620","67495","48080008","47366","99887060","86887","33116107","32858","38553840","39477","29198319","25309","27433626","28758","49053632","50012","40524095","37039","28153503","26243","11315694","12964","5877172","6956","3775594","4015","1048676","986"
"105年07月","日本","49148172","9854","121274584","26712","106667305","23040","38482576","8284","79570759","17565","25250960","5866","31373161","6606","30659975","6324","24316684","4968","42853723","9397","32112808","7311","17992610","4273","6674259","1440","4122695","792","2868759","710","750793","121"
"105年07月","美國","13462613","4744","54642950","13568","43528600","11272","13201129","4099","34148903","8713","8472700","2981","9525289","3114","12055353","3024","8115466","2615","15857469","6434","10943737","3791","7899009","2348","2187725","1045","1352329","436","769735","228","94764","46"
"105年07月","中國","16949780","9981","39127045","16749","37520309","15980","18777858","9674","36793237","21388","11011648","6165","10599159","7165","9851304","5550","8535928","6779","18059975","10877","12855580","7695","8294100","5732","3150881","2016","1273518","1363","1855728","1354","436589","99"
"105年07月","南韓","10337029","2071","18404294","4492","17872714","3922","7702533","1319","16226652","2704","6549263","1040","7488920","1433","5068386","899","6466517","917","7771364","1640","5823329","1173","4616732","987","1650524","328","699320","102","1088617","166","29444","9"
"105年07月","新加坡","8319929","2259","21369438","4687","19611732","4231","6111893","1827","14216023","3778","4651943","1402","4625433","1683","4682277","1224","3936815","1031","7808515","2003","5660783","1905","5270886","1059","1415373","406","536245","190","1063614","299","125600","33"
"105年07月","盧森堡","6884373","11135","16067700","22048","14053265","21035","9201748","13829","15934439","23129","5736993","8762","6144654","9379","3348623","5778","4324700","6725","7007461","11830","6218087","9989","4306850","8041","1812387","3278","1068309","1613","914163","1304","163730","256"
"105年07月","香港","7382323","2388","16199284","4239","17745607","4052","5634611","1936","11484168","3472","3571651","1135","3909710","1276","6623664","1160","3091226","974","10144659","2066","4307069","1243","3412631","852","822865","334","718699","200","797646","226","58714","22"
"105年07月","荷蘭","5030950","7973","10786789","8650","8610328","6736","4286881","4352","9088042","9216","4120192","3593","3559198","3682","3475434","3223","2645791","2355","7837194","5310","5243817","4791","5286667","3714","1770206","1560","929725","804","683462","601","81779","133"
"105年07月","法國","2612844","415","10613465","1433","7820394","1230","2474471","354","6754831","950","1719565","274","3222836","487","1954791","320","1605598","176","2640915","341","2236956","361","1912814","177","665045","53","209790","26","220553","25","8402","3"
"105年08月","英國","45242654","42106","112928904","67325","92290171","65246","44368167","46321","94154744","81488","35654944","30968","35304205","35867","28036183","23861","24087489","25863","44258300","46432","36893473","33862","25596844","23747","10509445","12933","5247481","6516","3714213","3820","886511","723"
"105年08月","日本","39850050","8722","99124809","20970","89021542","17937","32485759","6833","62989785","14257","21845347","4791","22999353","5396","28023050","5812","15955716","3913","35806985","8539","27032831","5514","15132226","3320","7032108","1710","4395314","901","2388259","544","845926","219"
"105年08月","美國","15145563","5109","52893361","13169","44286256","11470","16147556","4584","39592400","9315","9762303","3014","9629745","3237","10152092","3169","9025473","2796","13861321","6853","10503920","3787","7318159","2529","3516896","1013","995663","451","1237472","218","87535","71"
"105年08月","中國","19430169","10064","38240008","17331","37020653","16172","19418838","9975","35047324","20175","13490535","6487","11165943","7178","9346921","5758","8292291","6089","17122974","10989","13818654","7865","7590340","5285","2972812","2100","1557104","1065","2081384","1324","149222","100"
"105年08月","南韓","7743503","1944","17647577","4656","18382019","4126","8172150","1452","16305725","2969","5955592","1042","8031664","1494","4174197","881","3912664","880","9665123","1850","10533938","1575","3682158","746","1592274","371","912667","117","1113615","121","252460","29"
"105年08月","新加坡","8257964","2165","20063719","4350","19584989","3783","6054717","1707","13445460","3718","3852519","1216","4790116","1515","3531578","996","3547808","893","6386167","1733","6535130","1578","3326687","883","1385425","409","980863","181","375077","244","65357","28"
"105年08月","盧森堡","5985093","10107","13471198","21342","12857368","19764","9196467","13269","13806147","21122","4761354","7672","5246518","7720","3378665","5233","4133860","5682","5852001","9994","5606350","8669","3832657","7012","1527628","2754","992478","1278","967121","1238","93020","161"
"105年08月","香港","9989735","2605","15777912","4582","12345126","3842","5631894","1887","12245311","3473","3806299","1163","3364299","1187","4647284","1105","3764673","924","8155683","2133","3717731","1377","3462828","1031","1036335","333","859662","187","344819","173","50803","35"
"105年08月","荷蘭","5353250","8605","11585498","8854","10383274","7252","4185422","4467","10137525","9821","5543745","4176","3718066","3839","3399599","3458","2802569","2597","10004827","5735","6048030","5025","5652515","3736","2203651","1702","998444","1017","568112","571","36688","144"
"105年08月","澳門","3117141","274","10808535","521","8033393","561","2673008","193","4918297","362","711828","118","2379054","168","1406616","163","2134752","152","2417855","258","3235238","124","350322","72","732188","78","681210","22","506221","21","1494","1"
"105年09月","英國","42355910","38037","108092590","62128","85965568","59032","39141737","41763","83727662","70566","29978278","26838","30064291","31179","24970913","19921","23490461","22427","36929992","39947","31383010","30145","19708733","20855","8807286","11057","5233238","5719","1961028","2577","615310","1060"
"105年09月","日本","34592063","8601","96299799","22325","82006454","17901","33144055","7660","62086093","13446","20337254","4449","20627485","4477","20546256","4184","14354573","3220","32126575","6938","24851318","5441","13292635","2877","5081705","1144","2865293","650","1554865","397","200032","41"
"105年09月","中國","18143633","9422","36910256","16793","35272287","14949","14969136","9000","31284845","18120","9494900","5768","9917017","6464","9455672","5236","7540486","5408","16324045","10094","13046925","7530","6759712","4805","3357838","1979","1241889","1190","1446924","967","111267","74"
"105年09月","美國","13164941","4696","46586945","13244","40140565","10009","11008757","3622","33873524","8017","9490650","2629","8527132","2918","9292677","2695","6618950","2311","10398129","5050","8837783","3017","7411284","2335","2559875","862","936137","373","328644","122","120673","74"
"105年09月","新加坡","6920395","1836","17474920","3785","16796455","3611","5301017","1513","12209574","3589","7080469","1084","4196281","1265","3733198","860","3872296","878","6502880","1536","6961944","1534","3318261","740","1137732","327","430556","170","565393","169","123304","50"
"105年09月","香港","12624123","2320","15555580","4478","12403611","3531","5233410","1624","11531365","3133","4984202","1070","2727652","893","3342166","861","2539891","810","7905262","1808","3712664","1206","2953687","771","880105","354","385200","140","312056","101","38874","14"
"105年09月","南韓","7186413","1719","14382588","4308","12453958","3298","5879316","1426","10982788","2172","4835727","1154","3148156","873","3176505","700","2508504","664","7032195","1472","5228461","1169","2839735","722","1757297","233","615528","124","377884","94","38536","16"
"105年09月","荷蘭","6037217","8310","12792160","9051","8469589","7070","4395699","4348","8955032","9645","4261688","3683","3597066","3793","3100337","3334","2565808","2623","8000831","5594","5729672","4815","5052913","3423","1927454","1591","858018","905","515194","480","54890","158"
"105年09月","盧森堡","5197122","8246","10652925","17994","10733125","16743","8442045","10854","11493219","16090","3856143","6003","3598294","5390","2405930","3898","4073394","4056","4254230","6966","4454737","6812","3175791","5235","977766","1924","737832","929","515581","717","87480","163"
"105年09月","法國","3815573","449","11242745","1307","7447517","835","3365449","451","6766492","668","4121626","193","2179091","282","2017198","326","1583437","174","3380999","278","2506941","344","1847743","149","450134","63","156876","18","63279","8","429265","3"
"105年10月","英國","39475964","36873","96532486","58466","81169058","57291","38052380","39902","86937319","70365","31654553","26546","30493682","31721","22267121","20243","21143112","22802","37148027","40560","31341402","29901","19806890","19807","9946894","10923","5291832","6203","2649850","3003","630634","661"
"105年10月","日本","35421251","8693","92540403","21075","76589841","17202","31301979","7328","65489183","13728","21427464","4147","20880140","4384","21088212","4317","15005275","3372","32139918","7053","25959026","5270","12796068","2906","4617355","1028","3109525","556","2044665","475","440371","78"
"105年10月","美國","15585779","4498","42453273","11452","40884672","9928","11956936","3582","29606633","8053","8439150","2445","11051755","2860","9124917","2814","5857491","1915","11430670","5513","9172814","3090","5726448","2032","2516219","812","852346","319","578417","183","154552","64"
"105年10月","中國","15130128","9126","36107878","16049","31092939","14763","14500704","8947","29268762","17775","9297949","5770","9258905","6608","8856639","5312","6758123","5338","16420303","10134","11074712","7139","6994804","4883","2774796","1965","1456704","1125","1840791","1227","199161","176"
"105年10月","新加坡","7117306","1509","18361421","3511","17931269","3382","6607613","1699","12185392","3101","4072463","1010","4193003","1159","3694309","828","3195239","805","6317778","1365","4334685","1370","3094495","702","1096158","357","398672","101","567624","206","103940","23"
"105年10月","南韓","6972253","1822","15209759","4805","13558912","3405","6514222","1458","11653558","2322","4106918","1019","3777033","1130","4831593","868","2781578","670","5990431","1246","5565796","1072","2931265","659","1292607","270","410915","86","254898","48","189448","52"
"105年10月","香港","9640401","2052","14416918","3717","13774268","3289","5850046","1553","12935245","3003","3284914","896","3298535","892","4414374","800","3791903","723","6422342","1550","3415047","1033","2336000","688","880533","306","385133","145","597228","113","46310","27"
"105年10月","荷蘭","5836441","8974","11674087","9410","10480390","7320","4451621","4493","10506889","9666","5146287","4081","3374354","4012","3402160","3492","2339888","2609","7179563","5853","5634239","5088","4591020","3653","1589288","1633","732073","877","512183","578","115534","130"
"105年10月","盧森堡","4074444","6551","9871732","15168","9493340","14127","6666192","9081","10928436","12993","3074158","4756","3337289","4603","2071471","2981","2018369","2927","3592273","5694","3336465","4761","2587554","3730","843237","1318","634762","797","556202","735","127556","199"
"105年10月","澳門","2921294","263","3062481","369","17632896","339","1425051","138","2927329","280","1021264","137","1615122","153","1251756","151","1550229","82","1575172","204","2302988","94","484610","51","295530","17","254890","21","893538","17","0","0"
"105年11月","英國","34143335","31101","109096992","59413","74250168","51319","34172460","33858","71369847","57658","24669486","21211","29449179","25962","19218313","13598","16349447","17179","32714853","31965","27298848","22319","17588699","16061","8210879","8097","3206019","3655","2893391","2641","471933","562"
"105年11月","日本","28726518","7397","83896488","19095","62225167","15035","23824710","6073","52846384","12146","18237583","3770","16901120","3941","17348864","3894","13349849","3083","27150621","6305","19719584","4585","10366938","2440","4162355","1117","1896791","452","1401015","317","463752","95"
"105年11月","中國","20684937","11924","46372809","19861","38857395","18826","17448803","10802","35506225","21517","10086526","6053","10686580","6826","9996353","5434","7346475","5695","15645494","10500","13089301","8839","7570009","4903","3298492","2234","1282774","1087","2603395","1518","300915","191"
"105年11月","美國","11915065","4817","54958840","13774","51976680","11255","12213818","4097","35660676","8790","8568220","2812","11416715","2814","7409405","2179","6905166","2115","11848620","4204","9558596","2824","7672970","2271","2611386","906","1043300","364","511341","218","185730","69"
"105年11月","盧森堡","6759754","11192","17257722","25088","16308323","22899","9571472","13889","15754274","21867","5308632","7827","5517680","7973","3802224","5587","4894275","5308","5929703","9594","5594983","8655","4668385","7147","1560705","2546","798552","1174","1031263","1247","339837","326"
"105年11月","新加坡","5988922","1558","22077322","3563","18345047","3319","5638640","1316","16093502","3173","4560399","1092","3563619","1092","2750785","646","2552168","607","3990028","1124","3350155","1077","2710029","729","1012177","226","364360","101","805472","196","99592","24"
"105年11月","香港","9570089","2108","16880584","4085","13313972","3258","5216652","1523","11439066","2768","3003904","902","2900928","837","2983762","729","2036903","579","6098098","1423","4131357","999","2498056","646","835916","311","377359","123","721278","158","29817","13"
"105年11月","南韓","5768545","1544","12930829","4058","10882687","2759","5320381","1320","10746588","2303","2811742","681","4048236","813","3238027","697","2386166","625","6358494","1393","5696792","966","3616727","686","995462","191","957025","136","617584","192","115040","21"
"105年11月","荷蘭","7059644","9711","12767549","8818","8358712","7968","3586570","4367","10299982","9986","4028742","3868","2927374","3631","2424608","2826","2593256","2268","7306249","5368","4597960","4638","4621061","3646","1391490","1504","703716","860","522956","531","78881","131"
"105年11月","澳門","3282765","240","2608281","337","19093258","295","1249535","172","4226316","291","2232190","196","2610041","123","1262926","114","705011","75","2362146","229","941449","120","425892","61","334216","34","660871","20","112534","7","0","0"
"105年12月","日本","28125783","7484","93424167","21769","66897951","15760","27278101","6694","54146040","12388","15220677","3632","17290687","4028","15161982","3624","11421865","2747","28510749","6436","18448379","4157","9111210","2275","5364572","1084","2943316","633","1803870","339","312135","71"
"105年12月","英國","26843908","21435","82875235","37105","55519022","36898","32216376","23945","53674267","39340","15694378","14770","19300427","17069","13930580","9082","12017702","11910","24254035","21175","24866663","16323","13336763","11841","5402704","6013","2406960","2448","2256795","2109","403443","649"
"105年12月","美國","14716060","5127","49030702","13971","41858008","11644","11500377","4592","27252623","8509","6385557","2539","9022135","2818","6580707","2098","5216547","2092","9459839","3448","8056053","3031","6611319","2359","1769150","839","891771","404","609482","282","68182","57"
"105年12月","中國","15767734","9506","35010205","16014","30569684","15118","14621661","8289","30992473","17957","7787678","5080","8128146","5255","7505008","4707","6543886","4995","12798901","8138","10724763","7483","8692171","4345","3364883","1955","1520275","1253","2007183","1296","239551","173"
"105年12月","盧森堡","13675754","20865","25907915","39826","24971280","36991","14290650","22478","24116558","37441","8692258","13626","9915984","14632","5783252","9558","6598297","9547","10283852","17788","11344119","15666","6298905","11071","2280708","4344","1430092","2130","1655522","2345","220233","349"
"105年12月","香港","13764159","2001","16790619","4267","16668372","3405","5778564","1504","11910945","2848","4060097","904","3931017","925","3322777","689","3541073","670","6787027","1370","4170586","1092","3472573","784","980520","286","515937","129","445301","152","70961","19"
"105年12月","南韓","5613861","1433","11682395","3870","11490463","3147","4231925","1131","9288750","2003","2626796","835","4166658","867","1953806","467","2416066","667","5138205","1082","4090831","977","3918845","768","847557","159","585403","160","287522","81","147956","27"
"105年12月","新加坡","5006100","1286","13107351","3340","13688321","2742","3856631","1159","8570866","2643","2624274","874","2501111","960","1978724","521","2981550","542","3559925","1029","3353934","1006","2631246","655","715008","199","184741","92","380519","169","43436","18"
"105年12月","荷蘭","4852346","9794","8177726","8202","6750787","6393","2699131","3859","5832322","8848","3362604","3593","1821292","3453","1318510","2442","1458407","1954","3736494","4813","2823839","4175","3452662","3366","891797","1307","409998","893","281646","565","50496","132"
"105年12月","愛爾蘭","3306618","1663","6680247","2896","5106851","3138","2213347","1286","7952112","2921","1577164","998","1422482","818","1997537","1013","916252","629","2825060","1410","2250430","1259","1634918","950","711157","506","248604","208","350413","154","3089","2"
"106年01月","英國","40626930","23709","69223098","36641","55128097","38051","27143455","24313","54606891","43762","20130296","16644","22853412","18801","12704745","9749","19271928","13069","23894069","23358","21293142","16534","13216924","12737","6031262","6516","2291006","2986","2293697","2380","596084","870"
"106年01月","日本","29154451","7529","82601734","20354","82999382","16062","22891826","5548","53291732","11584","15259468","3631","18577113","4361","15731385","3550","12618836","3096","23903400","5924","14792823","3957","10419498","2509","4474929","976","2333138","543","1463353","353","360821","88"
