日期,收市,開市,高,低,成交量,更改%
2013年10月29日,216,206.9,216.5,204.2,10.02K,4.40%
2013年10月30日,208,216,216.5,204,13.47K,-3.70%
2013年10月31日,211.2,208,215,205.4,5.29K,1.52%
2013年11月1日,213.4,211.2,214.9,209.7,5.88K,1.07%
2013年11月2日,211.7,213.4,214.9,211,4.88K,-0.82%
2013年11月3日,224,211.7,226.9,212.1,12.27K,5.82%
2013年11月4日,238.2,224,239,221.9,18.06K,6.32%
2013年11月5日,251.3,238.2,258.9,229,45.10K,5.52%
2013年11月6日,264.1,251.3,272.5,251.4,38.82K,5.09%
2013年11月7日,309.6,264.1,324.2,263.6,86.13K,17.25%
2013年11月8日,355,309.6,358,308,44.63K,14.65%
2013年11月9日,367.8,355,395,340,49.91K,3.60%
2013年11月10日,336.3,367.8,372.5,290,74.25K,-8.56%
2013年11月11日,363,336.3,376,321.4,18.00K,7.93%
2013年11月12日,380,363,391.8,359,22.03K,4.70%
2013年11月13日,434.9,380,445,372.2,36.02K,14.42%
2013年11月14日,433.4,434.9,447.5,402.5,31.41K,-0.33%
2013年11月15日,433.9,433.4,457.9,413,28.13K,0.12%
2013年11月16日,462,433.9,476.9,428,19.14K,6.46%
2013年11月17日,528.3,462,536.8,457,26.72K,14.36%
2013年11月18日,785.4,528.3,787.9,522,72.07K,48.67%
2013年11月19日,645.7,785.4,900.9,502.6,99.10K,-17.79%
2013年11月20日,638,645.7,650,453.3,91.59K,-1.20%
2013年11月21日,764.9,638,784.3,595.2,38.73K,19.90%
2013年11月22日,802,764.9,822,682.3,30.15K,4.85%
2013年11月23日,832.5,802,890,799.5,21.31K,3.80%
2013年11月24日,795,832.5,855,745.2,25.95K,-4.50%
2013年11月25日,830,795,850,759,26.38K,4.40%
2013年11月26日,970,830,975,825.1,31.61K,16.86%
2013年11月27日,"1,079.90",970,"1,094.80",914.3,37.86K,11.33%
2013年11月28日,"1,101.40","1,079.90","1,224.50","1,032.10",37.40K,1.99%
2013年11月29日,"1,206.90","1,101.40","1,241.90","1,050.00",38.71K,9.58%
2013年11月30日,"1,205.70","1,206.90","1,232.90","1,150.20",15.10K,-0.11%
2013年12月1日,"1,004.40","1,205.70","1,216.80",840.3,79.92K,-16.69%
2013年12月2日,"1,096.60","1,004.40","1,117.70",975,37.05K,9.18%
2013年12月3日,"1,154.90","1,096.60","1,185.60","1,064.90",19.34K,5.32%
2013年12月4日,"1,237.60","1,154.90","1,239.70","1,131.30",16.30K,7.16%
2013年12月5日,"1,106.30","1,237.60","1,239.90",870,58.44K,-10.60%
2013年12月6日,845,"1,106.30","1,118.90",800.1,53.52K,-23.62%
2013年12月7日,697,845,896,576,97.66K,-17.51%
2013年12月8日,804,697,829,653,31.21K,15.34%
